LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
119,190718,1,4,69,0,65,2,1,1,30,0,40,1,4,0,8.462,45.02,24.796,,
119,190718,1,4,100,0,65,2,1,0,30,20,40,1,5,0,9.784,42.43,22.126,,
119,190718,1,4,137,0,65,2,1,1,30,20,40,1,4,0,8.06,40.094,24.46,,
120,190718,1,3,2,0,325,2,1,1,30,0,40,1,1,0,0,0,0,,
120,190718,1,3,33,0,325,2,1,0,30,0,40,1,2,0,6.818,38.06,7.088,,
120,190718,1,3,63,30,325,2,1,1,30,40,40,1,4,0,8.002,47.72,35.818,,
120,190718,1,3,94,30,325,2,1,0,30,40,40,1,1,0,9.236,11.352,2.034,,
120,190718,1,4,38,30,325,2,1,1,30,0,40,1,1,0,6.064,9.902,2.92,,
120,190718,1,4,69,0,325,2,1,0,30,0,40,1,2,0,8.774,65.674,9.414,,
119,190718,1,3,0,30,80,2,1,0,30,40,40,1,1,0,0,7.684,0,,
119,190718,1,3,21,30,80,2,1,1,30,40,40,1,1,0,0,0,0,,
119,190718,1,3,56,30,100,2,1,0,30,60,40,1,2,1,0,36.104,0,,
119,190718,1,3,88,30,100,2,1,1,30,60,40,1,1,1,16.466,43.332,5.332,,
120,190718,1,3,0,30,350,2,1,1,30,40,40,1,0,0,3.34,11.1,1.21,,
120,190718,1,3,21,30,350,2,1,0,30,40,40,1,2,0,0,13.012,0,,
120,190718,1,3,56,30,375,2,1,1,30,60,40,1,1,1,0,25.66,0,,
120,190718,1,3,88,30,375,2,1,0,30,60,40,1,2,1,8.76,31.008,18.478,,
120,190718,1,3,121,0,375,2,1,1,30,0,40,1,1,1,0,29.344,0,,
120,190718,1,3,143,0,375,2,1,0,30,0,40,1,1,1,17.4,30.15,11.65,,
120,190718,1,3,165,0,375,2,1,1,30,20,40,1,1,3,0,28.194,0,,
120,190718,1,3,187,0,375,2,1,0,30,20,40,1,1,1,0,19.52,0,,
120,190718,1,3,224,0,375,2,1,1,30,40,40,1,1,1,0,20.576,0,,
120,190718,1,3,260,0,375,2,1,0,30,40,40,1,2,0,26.49,34.334,35.3,,
