LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
83,190406,1,1,21,0,20,2,0,0,30,1,45,0,0,0,0,0,0,,
83,190406,1,1,41,30,30,2,0,1,30,8,45,0,0,0,0,0,0,,
83,190406,1,1,61,30,30,2,0,0,30,8,45,0,0,0,0,0,0,,
83,190406,1,1,92,0,40,2,0,1,30,20,45,0,1,0,0,0,0,,
83,190406,1,1,122,0,40,2,0,0,30,20,45,0,1,0,0,0,0,,
83,190406,1,2,5,30,35,2,0,1,30,20,45,0,1,0,0,0,0,,
83,190406,1,2,23,0,35,2,0,0,30,20,45,0,0,0,0,0,0,,
83,190406,1,2,39,30,35,2,0,1,30,8,45,0,0,0,0,0,0,,
83,190406,1,2,56,30,35,2,0,0,30,8,45,0,0,0,0,0,0,,
83,190406,1,2,74,0,35,2,0,1,30,1,45,0,0,0,0,0,0,,
83,190406,1,2,91,0,35,2,0,0,30,1,45,0,0,0,0,0,0,,
83,190406,1,2,114,0,40,2,0,1,30,1,45,0,0,0,0,0,0,,
83,190406,1,2,131,0,40,2,0,0,30,1,45,0,0,0,0,0,0,,
83,190406,1,2,149,0,40,2,0,1,30,8,45,0,1,0,0,0,0,,
83,190406,1,2,166,0,40,2,0,0,30,8,45,0,1,0,0,0,0,,
83,190406,1,2,187,30,40,2,0,1,30,20,45,0,2,0,0,0,0,,
83,190406,1,2,230,0,40,2,0,0,30,20,45,0,1,0,0,0,0,,
82,190409,1,1,1,30,35,2,0,0,30,20,45,0,0,0,0,0,0.596,,
82,190409,1,1,22,0,35,2,0,1,30,20,45,0,1,0,0,0,0,,
82,190409,1,1,42,0,35,2,0,0,30,8,45,1,1,0,1.3336,0,4.9072,,
82,190409,1,1,67,20,35,2,0,1,30,8,45,1,1,0,1.0736,0,5.8432,,
82,190409,1,1,87,0,35,2,0,0,30,1,45,1,1,0,1.3544,0,4.5872,,
82,190409,1,1,105,0,35,2,0,1,30,1,45,0,1,0,0.9768,0,5.7304,,
82,190409,1,1,123,10,35,2,0,0,30,1,45,0,1,0,0.816,0,4.532,,
82,190409,1,1,145,10,35,2,0,1,30,1,45,0,1,0,1.424,0,4.7592,,
82,190409,1,1,163,30,35,2,0,0,30,8,45,0,1,0,1.1104,0,5.7432,,
82,190409,1,1,184,50,35,2,0,1,30,8,45,0,1,0,0.244,0.7608,10.3648,,
82,190409,1,1,207,0,35,2,0,0,30,20,45,0,1,0,1.0824,0,6.584,,
82,190409,1,1,232,0,35,2,0,1,30,20,45,1,1,1,0.7144,24.484,7.4144,,
83,190409,1,1,1,30,40,2,0,1,30,20,45,1,1,0,10.8496,29.8184,0.7536,,
83,190409,1,1,22,0,40,2,0,0,30,20,45,1,2,0,30.6784,28.1264,0.6456,,
83,190409,1,1,42,0,40,2,0,1,30,8,45,1,3,0,0,38.1896,0,,
83,190409,1,1,67,20,40,2,0,0,30,8,45,1,5,0,0,37.1752,0,,
83,190409,1,1,87,0,30,2,0,1,30,1,45,1,5,0,12.6408,61.4112,31.8528,,
83,190409,1,1,105,0,30,2,0,0,30,1,45,1,5,0,0,30.1376,0,,
83,190409,1,1,123,10,20,2,0,1,30,1,45,1,5,0,20.3448,45.3904,2.22,,
83,190409,1,1,145,10,20,2,0,0,30,1,45,1,5,0,19.6176,57.2904,9.2136,,
83,190409,1,1,163,30,10,2,0,1,30,8,45,0,0,0,0,0,0,,
83,190409,1,1,184,50,10,2,0,0,30,8,45,0,1,0,0,11.532,28.0944,,
83,190409,1,1,207,0,10,2,0,1,30,20,45,1,5,0,18.7,59.4352,9.6168,,
83,190409,1,1,232,0,10,2,0,0,30,20,45,0,0,0,0,0,0,,
119,190716,1,2,0,40,75,2,1,0,30,20,45,1,4,0,1.856,44.7008,17.0272,,
119,190716,1,2,38,0,75,2,1,1,30,20,45,1,4,0,1.5448,33.5416,29.616,,
119,190716,1,2,84,0,75,2,1,0,30,8,45,1,5,0,2.876,70.6192,38.9024,,
119,190716,1,2,117,0,75,2,1,1,30,8,45,1,4,0,3.236,29.5128,29.4088,,
119,190716,1,2,148,40,75,2,1,0,30,1,45,1,4,0,2.5008,56.0144,43.9136,,
119,190716,1,2,180,0,75,2,1,1,30,1,45,1,4,0,4.4488,44.5656,27.1032,,
119,190716,1,2,228,0,75,2,1,0,30,1,45,1,5,0,3.884,57.8456,33.4544,,
119,190716,1,2,259,0,75,2,1,1,30,1,45,1,5,0,3.3008,37.3496,36.1232,,
119,190716,1,2,293,0,75,2,1,0,30,8,45,1,5,0,3.2456,49.1136,45.0048,,
119,190716,1,2,324,0,75,2,1,1,30,8,45,1,5,0,2.464,51.7888,49.6816,,
